

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.017  000.017: --- NVIM STARTING ---
000.214  000.197: event init
005.252  005.038: early init
005.360  000.108: locale set
005.456  000.096: init first window
006.003  000.547: inits 1
006.035  000.032: window checked
006.167  000.132: parsing arguments
008.057  000.104  000.104: require('vim.shared')
008.293  000.092  000.092: require('vim._meta')
008.300  000.231  000.139: require('vim._editor')
008.303  000.425  000.090: require('vim._init_packages')
008.307  001.716: init lua interpreter
008.510  000.202: expanding arguments
008.591  000.081: inits 2
009.183  000.592: init highlight
009.188  000.006: waiting for UI
009.564  000.376: done waiting for UI
009.578  000.014: clear screen
010.034  000.456: init default mappings & autocommands
014.462  000.180  000.180: sourcing /home/rahim/nvim/share/nvim/runtime/ftplugin.vim
026.035  010.766  010.766: sourcing /home/rahim/nvim/share/nvim/runtime/indent.vim
031.514  000.884  000.884: require('packer.util')
031.600  003.858  002.974: require('packer')
032.538  000.931  000.931: require('packer.log')
034.369  000.747  000.747: require('packer.async')
035.804  000.612  000.612: require('packer.result')
035.820  001.440  000.828: require('packer.jobs')
035.835  003.249  001.062: require('packer.plugin_utils')
040.898  005.028  005.028: require('packer.snapshot')
042.457  000.597  000.597: require('nvim-cursorline')
046.922  000.888  000.888: require('colorizer.color')
048.386  000.067  000.067: require('ffi')
048.776  001.140  001.073: require('colorizer.trie')
050.202  000.812  000.812: require('colorizer.utils')
050.217  001.428  000.616: require('colorizer.parser.names')
050.648  000.426  000.426: require('colorizer.parser.rgb')
051.118  000.464  000.464: require('colorizer.parser.hsl')
051.666  000.537  000.537: require('colorizer.parser.argb_hex')
052.294  000.481  000.481: require('colorizer.parser.rgba_hex')
055.727  003.425  003.425: require('colorizer.sass')
055.752  008.813  000.911: require('colorizer.matcher')
056.995  001.235  001.235: require('colorizer.tailwind')
057.030  013.127  002.191: require('colorizer.buffer')
057.137  014.274  001.148: require('colorizer')
062.275  000.632  000.632: require('dap.utils')
062.346  002.783  002.151: require('dap')
065.573  000.724  000.724: require('dapui.async.tasks')
066.256  000.666  000.666: require('dapui.async.control')
066.932  000.667  000.667: require('dapui.async.uv')
067.402  000.462  000.462: require('dapui.async.tests')
068.508  000.787  000.787: require('vim.ui')
068.582  001.174  000.386: require('dapui.async.ui')
069.277  000.688  000.688: require('dapui.async.lsp')
069.306  005.042  000.662: require('dapui.async')
071.350  000.379  000.379: require('dapui.config.highlights')
071.877  001.645  001.267: require('dapui.config')
071.911  002.599  000.954: require('dapui.util')
072.351  000.435  000.435: require('dapui.windows.layout')
072.362  009.039  000.963: require('dapui.windows')
072.724  000.358  000.358: require('dapui.controls')
072.734  010.380  000.983: require('dapui')
073.945  000.386  000.386: require('dapui.logging')
074.827  000.876  000.876: require('dapui.client.types')
074.835  001.654  000.392: require('dapui.client')
075.293  000.455  000.455: require('dap.breakpoints')
075.680  000.358  000.358: require('dapui.client.lib')
076.622  000.702  000.702: require('dapui.render.canvas')
076.633  000.936  000.234: require('dapui.elements.breakpoints')
077.365  000.678  000.678: require('dapui.components.breakpoints')
077.861  000.439  000.439: require('dapui.elements.repl')
078.326  000.455  000.455: require('dapui.elements.scopes')
078.794  000.421  000.421: require('dapui.components.scopes')
079.491  000.690  000.690: require('dapui.components.variables')
080.134  000.592  000.592: require('dapui.elements.stacks')
081.431  000.638  000.638: require('dapui.components.frames')
081.442  001.251  000.614: require('dapui.components.threads')
082.288  000.704  000.704: require('dapui.elements.watches')
083.236  000.814  000.814: require('dapui.components.watches')
083.827  000.540  000.540: require('dapui.elements.hover')
084.543  000.655  000.655: require('dapui.components.hover')
085.202  000.644  000.644: require('dapui.elements.console')
087.064  000.093  000.093: require('vim.keymap')
089.679  000.509  000.509: require('lualine_require')
090.087  002.651  002.142: require('lualine')
090.184  000.093  000.093: require('me.lualine')
097.448  000.195  000.195: require('lualine.utils.mode')
102.046  000.429  000.429: require('vim.treesitter.language')
102.068  001.254  000.825: require('vim.treesitter.query')
102.464  000.393  000.393: require('vim.treesitter._range')
102.480  002.478  000.832: require('vim.treesitter.languagetree')
102.498  003.224  000.746: require('vim.treesitter')
102.506  003.511  000.286: require('nvim-treesitter.compat')
106.238  002.507  002.507: require('nvim-treesitter.parsers')
107.220  000.969  000.969: require('nvim-treesitter.utils')
107.253  004.254  000.777: require('nvim-treesitter.ts_utils')
107.304  004.796  000.542: require('nvim-treesitter.tsrange')
107.837  000.525  000.525: require('nvim-treesitter.caching')
107.877  009.396  000.564: require('nvim-treesitter.query')
107.927  010.097  000.701: require('nvim-treesitter.configs')
109.261  000.751  000.751: require('ts-rainbow.lib')
110.298  000.386  000.386: require('ts-rainbow.stack')
110.325  001.053  000.666: require('ts-rainbow.strategy.global')
113.145  002.816  002.816: require('ts-rainbow.strategy.local')
113.693  000.532  000.532: require('ts-rainbow.strategy.no-op')
113.701  005.764  000.612: require('ts-rainbow')
114.078  000.327  000.327: require('Comment')
114.272  000.186  000.186: require('Comment.config')
116.268  000.528  000.528: require('Comment.ft')
116.289  001.510  000.982: require('Comment.utils')
116.758  000.464  000.464: require('Comment.opfunc')
116.986  000.218  000.218: require('Comment.extra')
117.000  002.721  000.528: require('Comment.api')
119.294  000.707  000.707: require('indent_blankline/utils')
119.316  001.899  001.192: require('indent_blankline')
123.006  000.337  000.337: require('gitsigns.async')
123.720  000.134  000.134: require('gitsigns.message')
123.735  000.718  000.584: require('gitsigns.config')
123.937  000.199  000.199: require('gitsigns.debug.log')
123.946  004.423  003.170: require('gitsigns')
124.961  000.305  000.305: require('telescope._extensions')
124.968  000.691  000.386: require('telescope')
125.897  000.275  000.275: require('telescope.state')
130.089  000.498  000.498: require('plenary.bit')
130.382  000.282  000.282: require('plenary.functional')
130.415  002.713  001.933: require('plenary.path')
130.426  003.713  001.000: require('plenary.strings')
130.704  000.275  000.275: require('telescope.deprecated')
132.226  000.009  000.009: require('vim.F')
132.269  000.593  000.584: require('plenary.log')
132.323  000.909  000.315: require('telescope.log')
133.735  000.723  000.723: require('plenary.job')
133.749  001.422  000.699: require('telescope.utils')
133.757  003.049  000.718: require('telescope.sorters')
133.855  000.076  000.076: require('vim.inspect')
137.073  011.172  004.058: require('telescope.config')
137.095  011.760  000.313: require('telescope.actions.state')
140.160  001.189  001.189: require('telescope.config.resolve')
140.957  000.776  000.776: require('telescope.pickers.window')
141.103  003.999  002.034: require('telescope.pickers.layout_strategies')
141.928  000.816  000.816: require('telescope.actions.mt')
141.972  017.001  000.425: require('telescope.actions.layout')
148.057  000.274  000.274: require('plenary.tbl')
148.075  000.619  000.345: require('plenary.vararg.rotate')
148.080  000.869  000.249: require('plenary.vararg')
148.356  000.272  000.272: require('plenary.errors')
148.369  001.520  000.380: require('plenary.async.async')
148.701  000.328  000.328: require('plenary.async.structs')
148.716  002.523  000.675: require('plenary.async.control')
